MATNR,MATKL
1345008385,G010
30450095047,G001
1121003413,G001
1008000230,G010
1133008776,G001
1307000961,G010
1351006997,G001
1368003165,G001
1432006028,G001
1016006207,G010
1000004503,G010
1409007166,G010
1420006946,G010
1321004413,G010
1363009233,G010
1348003511,G010
1371002956,G010
1367000978,G010
1323005608,G010
1415000183,G010
1322007535,G010
1429004260,G010
1432009355,G010
1391005200,G010
1373000749,G001
1402005790,G001
1403002458,G001
1425008593,G001
1375008779,G001
1349007073,G001
1372004751,G001
1371003970,G002
1422005000,G002
1435004670,G002
1379007150,G002
1445009755,G002
1439007610,G002
1382006163,G002
1388006535,G002
517700933,G002
517700289,G003
475000537,G003
2.11E+13,G010
1325009694,G010
2300002813,G010
1362006908,G003
1421006724,G003
1429002154,G003
1420004259,G003
1435006145,G003
10000000014,G003
1434002798,G003
1371004340,G003
10000000015,G003
1345009986,G003
1370003193,G003
10000000019,G003
1324001925,G003
1366008322,G003
1021006701,G010
1423001403,G003
1423001404,G003
1423001405,G003
1423001406,G003
1412004880,G010
1412004917,G010
1421008027,G003
1422000276,G010
1249009715,G003
1271000148,G010
1304001935,G003
1375005551,G010
1315003187,G010
1120009200,G004
1330006213,G004
1257003472,G004
1305001362,G004
2300003492,G004
1426005985,G010
1428000709,G010
513700334,G010
1421008021,G010
513700332,G010
1305003432,G010
1383008383,G004
1356004694,G010
1347004579,G010
1347004580,G010
1375005702,G010
1121004263,G004
1381000232,G010
499800749,G010
506800801,G010
506800803,G010
506800805,G010
506800806,G010
1321008297,G004
1447000156,G004
1449008320,G004
1378006643,G010
1321007986,G004
1380008705,G010
1346002743,G004
1404000179,G004
1403002480,G004
1403004726,G004
1449008085,G004
1403006700,G004
1449008206,G004
1403007670,G004
1449008278,G004
1449008313,G004
1403008867,G004
506800819,G004
1000004517,G010
1249009434,G004
1121004261,G004
1170000877,G010
1000004518,G010
1000004519,G010
1000004520,G010
1000004521,G010
1000004522,G010
1303006803,G010
1303006804,G010
1303006805,G004
1303006806,G004
1303006807,G004
1303006808,G010
1232002968,G010
1303006809,G010
1303006810,G010
1303006811,G004
1303006812,G010
1117004743,G010
1304000442,G010
1117004745,G010
1304000443,G010
1304000444,G010
1304000509,G010
1304000531,G004
1330006066,G004
1330006067,G010
1306008271,G004
1306008272,G010
1388003672,G004
1346002704,G004
1346002711,G010
1427001134,G004
1427001279,G004
1430005183,G004
1430006800,G004
30490002554,G004
2390001937,G010
1121002913,G010
1307003653,G010
1307003659,G010
1177009764,G010
1307003660,G010
1121004250,G010
1177009765,G010
1121004253,G010
1177009766,G010
1178001055,G010
1179007891,G010
1254005357,G004
1254005359,G004
1254005361,G004
1010008069,G010
1010008070,G010
1010008071,G010
1010008072,G010
1316005149,G010
1188007449,G010
1261005636,G004
1261005637,G010
1261005643,G010
1262005292,G004
1262005293,G004
1262005295,G004
1319008101,G004
1319008102,G004
1319008104,G010
1319008105,G004
1321005222,G010
1321005223,G004
1321005224,G010
1272009764,G010
1158007367,G010
1330005655,G004
1330005656,G004
1330005657,G010
1330005658,G004
1099005306,G010
1099005458,G004
1330005659,G004
1330006037,G010
1330006038,G010
1330006039,G010
1330006040,G010
1330006041,G010
1332004464,G010
1332004465,G010
1332004466,G010
1332004467,G010
1292001668,G010
1109003929,G004
1109003930,G010
1109007102,G011
1338002809,G011
1000003978,G011
1139004673,G011
1271009372,G011
1000004549,G011
1154004228,G011
1166002457,G011
1007004451,G004
1168002386,G011
1168002391,G011
1010006511,G011
1010006512,G004
1010006513,G011
1010006514,G011
1010008013,G004
1010008014,G011
1010008015,G011
1010008016,G004
1010008018,G011
1010008206,G011
1010008207,G004
1010008208,G004
1010008209,G011
1012004482,G011
1018006170,G011
1177009763,G005
1261003164,G012
1301003371,G012
1423002022,G005
