PLNUM,MATNR,PLWRK,GSMNG,PEDTR
478188609,1345008385,1000,5,2020/10/9
525442361,30450095047,1000,1,2020/8/25
625064293,1121003413,1000,1,2020/9/12
625064298,1008000230,1000,4,2020/9/3
625064300,1133008776,1000,1,2020/9/9
625064301,1307000961,1000,2,2020/9/12
625064302,1351006997,1000,1,2020/9/12
625064303,1368003165,1000,1,2020/9/12
625064304,1432006028,1000,1,2020/9/12
626673380,1016006207,1000,100,2020/9/4
626673381,1000004503,1000,140,2020/9/5
626673382,1409007166,1000,170,2020/9/7
626673383,1420006946,1000,120,2020/9/10
626673384,1321004413,1000,25,2020/9/7
626673385,1363009233,1000,60,2020/9/2
626673386,1348003511,1000,30,2020/9/2
626673387,1371002956,1000,65,2020/9/1
626673388,1367000978,1000,2,2020/8/31
626673389,1323005608,1000,70,2020/9/3
626673390,1415000183,1000,12,2020/9/2
626673391,1322007535,1000,5,2020/8/31
626673392,1429004260,1000,45,2020/8/31
626673393,1432009355,1000,5,2020/9/1
626673394,1391005200,1000,5,2020/9/2
652448466,1373000749,1000,1,2020/9/8
652448467,1373000749,1000,1,2020/9/8
652450278,1373000749,1000,1,2020/9/8
652450315,1373000749,1000,1,2020/9/8
652450325,1373000749,1000,1,2020/9/8
652450348,1373000749,1000,1,2020/9/8
652450358,1373000749,1000,1,2020/9/8
652450367,1373000749,1000,1,2020/9/8
652450368,1373000749,1000,1,2020/9/8
652450376,1373000749,1000,1,2020/9/8
652450385,1373000749,1000,1,2020/9/8
652450386,1373000749,1000,1,2020/9/8
652450393,1373000749,1000,1,2020/9/8
652450394,1373000749,1000,1,2020/9/8
652450401,1373000749,1000,1,2020/9/8
652450425,1373000749,1000,1,2020/9/8
652450426,1373000749,1000,1,2020/9/8
652450447,1373000749,1000,1,2020/9/8
652450461,1373000749,1000,1,2020/9/8
652450462,1373000749,1000,1,2020/9/8
652450468,1373000749,1000,1,2020/9/8
652450469,1373000749,1000,1,2020/9/8
652450483,1373000749,1000,1,2020/9/8
652450489,1373000749,1000,1,2020/9/8
652450490,1373000749,1000,1,2020/9/8
652450496,1373000749,1000,1,2020/9/8
652450497,1373000749,1000,1,2020/9/8
652450503,1373000749,1000,1,2020/9/8
652450504,1373000749,1000,1,2020/9/8
652450518,1373000749,1000,1,2020/9/8
652450524,1373000749,1000,1,2020/9/8
652450538,1373000749,1000,1,2020/9/8
652450539,1373000749,1000,1,2020/9/8
652450545,1373000749,1000,1,2020/9/8
652450546,1373000749,1000,1,2020/9/8
652450552,1373000749,1000,1,2020/9/8
652450559,1373000749,1000,1,2020/9/8
652450566,1373000749,1000,1,2020/9/8
652450573,1373000749,1000,1,2020/9/8
657835973,1402005790,1000,1,2020/10/6
657835974,1402005790,1000,1,2020/10/13
657835975,1402005790,1000,1,2020/11/12
657835976,1402005790,1000,1,2020/11/12
657835977,1402005790,1000,1,2020/12/30
657835978,1402005790,1000,1,2020/12/30
657835979,1402005790,1000,1,2020/12/30
657835980,1403002458,1000,1,2020/9/4
657835981,1403002458,1000,1,2020/9/4
657835982,1403002458,1000,1,2020/9/4
657835983,1403002458,1000,1,2020/9/4
657835984,1403002458,1000,1,2020/9/4
657835985,1403002458,1000,1,2020/9/4
657835986,1403002458,1000,1,2020/9/4
657835987,1403002458,1000,1,2020/10/11
657835988,1403002458,1000,1,2020/10/11
657835989,1403002458,1000,1,2020/10/11
657835990,1403002458,1000,1,2020/10/11
657835991,1403002458,1000,1,2020/10/11
657835992,1403002458,1000,1,2020/10/11
657835993,1403002458,1000,1,2020/10/11
657835994,1403002458,1000,1,2020/10/11
657835995,1403002458,1000,1,2020/10/25
657835996,1403002458,1000,1,2020/10/25
657835997,1403002458,1000,1,2020/10/25
657835998,1403002458,1000,1,2020/10/25
657835999,1403002458,1000,1,2020/10/25
657836000,1403002458,1000,1,2020/10/25
657836001,1403002458,1000,1,2020/10/25
657836002,1403002458,1000,1,2020/10/25
657836003,1403002458,1000,1,2020/11/24
657836004,1403002458,1000,1,2020/11/24
657836005,1403002458,1000,1,2020/11/24
657836006,1403002458,1000,1,2020/11/24
657836007,1403002458,1000,1,2020/11/24
657836008,1403002458,1000,1,2020/11/24
657836009,1403002458,1000,1,2020/11/24
657836010,1403002458,1000,1,2020/11/24
657836011,1403002458,1000,1,2021/1/11
657836012,1403002458,1000,1,2021/1/11
657836013,1403002458,1000,1,2021/1/11
657836014,1403002458,1000,1,2021/1/11
657836015,1403002458,1000,1,2021/1/11
657836016,1403002458,1000,1,2021/1/11
657836017,1403002458,1000,1,2021/1/11
657836018,1403002458,1000,1,2021/1/11
657836019,1403002458,1000,1,2021/1/11
657836020,1403002458,1000,1,2021/1/11
657839376,1425008593,1000,1,2020/9/6
657839377,1425008593,1000,1,2020/10/4
657839378,1425008593,1000,1,2020/10/6
657839379,1425008593,1000,1,2020/10/6
657839380,1425008593,1000,1,2020/10/6
657839381,1425008593,1000,1,2020/10/6
657839382,1425008593,1000,1,2020/10/6
657839383,1425008593,1000,1,2020/10/18
657839384,1425008593,1000,1,2020/10/18
657839385,1425008593,1000,1,2020/10/20
657839386,1425008593,1000,1,2020/10/20
657839387,1425008593,1000,1,2020/10/20
657839388,1425008593,1000,1,2020/10/20
657839389,1425008593,1000,1,2020/10/20
657839390,1425008593,1000,1,2020/11/17
657839391,1425008593,1000,1,2020/11/19
657839392,1425008593,1000,1,2020/11/19
657839393,1425008593,1000,1,2020/11/19
657839394,1425008593,1000,1,2020/11/19
657839395,1425008593,1000,1,2020/11/19
657839396,1425008593,1000,1,2021/1/4
657839397,1425008593,1000,1,2021/1/4
657839398,1425008593,1000,1,2021/1/4
657839399,1425008593,1000,1,2021/1/6
657839400,1425008593,1000,1,2021/1/6
657839401,1425008593,1000,1,2021/1/6
657839402,1425008593,1000,1,2021/1/6
657839403,1425008593,1000,1,2021/1/6
660693466,1375008779,1000,1,2020/9/8
660693467,1375008779,1000,1,2020/9/8
660693468,1375008779,1000,1,2020/9/8
660693469,1375008779,1000,1,2020/9/8
660693471,1375008779,1000,1,2020/9/8
660693472,1375008779,1000,1,2020/9/8
660693476,1375008779,1000,1,2020/9/8
660693477,1375008779,1000,1,2020/9/8
660693478,1375008779,1000,1,2020/9/8
660693479,1375008779,1000,1,2020/9/8
660693480,1375008779,1000,1,2020/9/8
660693481,1375008779,1000,1,2020/9/8
660693482,1375008779,1000,1,2020/9/8
660693483,1375008779,1000,1,2020/9/8
660698208,1375008779,1000,1,2020/9/8
660698209,1375008779,1000,1,2020/9/8
660698210,1375008779,1000,1,2020/9/8
660698211,1375008779,1000,1,2020/9/8
660698212,1375008779,1000,1,2020/9/8
660698213,1375008779,1000,1,2020/9/8
660698214,1375008779,1000,1,2020/9/8
660698215,1375008779,1000,1,2020/9/8
660698216,1375008779,1000,1,2020/9/8
660698217,1375008779,1000,1,2020/9/8
660698218,1375008779,1000,1,2020/9/8
660698219,1375008779,1000,1,2020/9/8
660698220,1375008779,1000,1,2020/9/8
660698221,1375008779,1000,1,2020/9/8
660698222,1375008779,1000,1,2020/9/8
660698223,1375008779,1000,1,2020/9/8
660698224,1375008779,1000,1,2020/9/8
660698225,1375008779,1000,1,2020/9/8
660698226,1375008779,1000,1,2020/9/8
660698227,1375008779,1000,1,2020/9/8
660698228,1375008779,1000,1,2020/9/8
660698229,1375008779,1000,1,2020/9/8
660698230,1375008779,1000,1,2020/9/8
660698231,1375008779,1000,1,2020/9/8
660698232,1375008779,1000,1,2020/9/8
660698233,1375008779,1000,1,2020/9/8
660698234,1375008779,1000,1,2020/9/8
660698235,1349007073,1000,1,2020/9/8
660698236,1372004751,1000,1,2020/9/8
660698237,1371003970,1000,1,2020/9/8
660698238,1372004751,1000,1,2020/9/8
660698239,1422005000,1000,1,2020/9/8
660698240,1435004670,1000,1,2020/9/8
660698241,1379007150,1000,1,2020/9/8
660698242,1445009755,1000,1,2020/9/13
660698243,1445009755,1000,1,2020/9/13
660698244,1439007610,1000,1,2020/9/13
660698245,1349007073,1000,1,2020/9/8
660698246,1372004751,1000,1,2020/9/8
660698247,1371003970,1000,1,2020/9/8
660698248,1372004751,1000,1,2020/9/8
660698249,1422005000,1000,1,2020/9/8
660698250,1435004670,1000,1,2020/9/8
660698251,1379007150,1000,1,2020/9/8
660698252,1445009755,1000,1,2020/9/13
660698254,1439007610,1000,1,2020/9/13
660698255,1349007073,1000,1,2020/9/8
660698256,1372004751,1000,1,2020/9/8
660698257,1371003970,1000,1,2020/9/8
660698258,1372004751,1000,1,2020/9/8
660698259,1422005000,1000,1,2020/9/8
660698260,1435004670,1000,1,2020/9/8
660698261,1379007150,1000,1,2020/9/8
660698262,1445009755,1000,1,2020/9/13
660698263,1445009755,1000,1,2020/9/13
