MATNR,ARBPL,TIME
1345008385,WC00005,0.05
30450095047,WC00001,0.1
1121003413,WC00001,0.1
1008000230,WC00005,0.05
1133008776,WC00001,0.1
1307000961,WC00005,0.05
1351006997,WC00001,0.1
1368003165,WC00001,0.1
1432006028,WC00001,0.1
1016006207,WC00005,0.05
1000004503,WC00005,0.05
1409007166,WC00005,0.05
1420006946,WC00005,0.05
1321004413,WC00005,0.05
1363009233,WC00005,0.05
1348003511,WC00005,0.05
1371002956,WC00005,0.05
1367000978,WC00005,0.05
1323005608,WC00005,0.05
1415000183,WC00005,0.05
1322007535,WC00005,0.05
1429004260,WC00005,0.05
1432009355,WC00005,0.05
1391005200,WC00005,0.05
1373000749,WC00001,0.1
1402005790,WC00001,0.1
1403002458,WC00001,0.1
1425008593,WC00001,0.1
1375008779,WC00001,0.1
1349007073,WC00001,0.1
1372004751,WC00001,0.1
1371003970,WC00001,0.1
1422005000,WC00001,0.1
1435004670,WC00001,0.1
1379007150,WC00001,0.1
1445009755,WC00001,0.1
1439007610,WC00001,0.1
1382006163,WC00001,0.1
1388006535,WC00001,0.1
517700933,WC00001,0.1
517700289,WC00002,0.1
475000537,WC00002,0.1
2.11E+13,WC00005,0.05
1325009694,WC00005,0.05
2300002813,WC00005,0.05
1362006908,WC00002,0.1
1421006724,WC00002,0.1
1429002154,WC00002,0.1
1420004259,WC00002,0.1
1435006145,WC00002,0.1
10000000014,WC00002,0.1
1434002798,WC00002,0.1
1371004340,WC00002,0.1
10000000015,WC00002,0.1
1345009986,WC00002,0.1
1370003193,WC00002,0.1
10000000019,WC00002,0.1
1324001925,WC00002,0.1
1366008322,WC00002,0.1
1021006701,WC00005,0.05
1423001403,WC00002,0.1
1423001404,WC00002,0.1
1423001405,WC00002,0.1
1423001406,WC00002,0.1
1412004880,WC00005,0.05
1412004917,WC00005,0.05
1421008027,WC00002,0.1
1422000276,WC00005,0.05
1249009715,WC00002,0.1
1271000148,WC00005,0.05
1304001935,WC00002,0.1
1375005551,WC00005,0.05
1315003187,WC00005,0.05
1120009200,WC00002,0.1
1330006213,WC00002,0.1
1257003472,WC00002,0.1
1305001362,WC00002,0.1
2300003492,WC00002,0.1
1426005985,WC00005,0.05
1428000709,WC00005,0.05
513700334,WC00005,0.05
1421008021,WC00005,0.05
513700332,WC00005,0.05
1305003432,WC00005,0.05
1383008383,WC00002,0.1
1356004694,WC00005,0.05
1347004579,WC00005,0.05
1347004580,WC00005,0.05
1375005702,WC00005,0.05
1121004263,WC00002,0.1
1381000232,WC00005,0.05
499800749,WC00005,0.05
506800801,WC00005,0.05
506800803,WC00005,0.05
506800805,WC00005,0.05
506800806,WC00005,0.05
1321008297,WC00002,0.1
1447000156,WC00002,0.1
1449008320,WC00002,0.1
1378006643,WC00005,0.05
1321007986,WC00002,0.1
1380008705,WC00005,0.05
1346002743,WC00002,0.1
1404000179,WC00002,0.1
1403002480,WC00002,0.1
1403004726,WC00002,0.1
1449008085,WC00002,0.1
1403006700,WC00002,0.1
1449008206,WC00002,0.1
1403007670,WC00002,0.1
1449008278,WC00002,0.1
1449008313,WC00002,0.1
1403008867,WC00002,0.1
506800819,WC00002,0.1
1000004517,WC00005,0.05
1249009434,WC00002,0.1
1121004261,WC00002,0.1
1170000877,WC00005,0.05
1000004518,WC00005,0.05
1000004519,WC00005,0.05
1000004520,WC00005,0.05
1000004521,WC00005,0.05
1000004522,WC00005,0.05
1303006803,WC00005,0.05
1303006804,WC00005,0.05
1303006805,WC00002,0.1
1303006806,WC00002,0.1
1303006807,WC00002,0.1
1303006808,WC00005,0.05
1232002968,WC00005,0.05
1303006809,WC00005,0.05
1303006810,WC00005,0.05
1303006811,WC00002,0.1
1303006812,WC00005,0.05
1117004743,WC00005,0.05
1304000442,WC00005,0.05
1117004745,WC00005,0.05
1304000443,WC00005,0.05
1304000444,WC00005,0.05
1304000509,WC00005,0.05
1304000531,WC00002,0.1
1330006066,WC00002,0.1
1330006067,WC00005,0.05
1306008271,WC00002,0.1
1306008272,WC00005,0.05
1388003672,WC00002,0.1
1346002704,WC00002,0.1
1346002711,WC00005,0.05
1427001134,WC00002,0.1
1427001279,WC00002,0.1
1430005183,WC00002,0.1
1430006800,WC00002,0.1
30490002554,WC00002,0.1
2390001937,WC00005,0.05
1121002913,WC00005,0.05
1307003653,WC00005,0.05
1307003659,WC00005,0.05
1177009764,WC00005,0.05
1307003660,WC00005,0.05
1121004250,WC00005,0.05
1177009765,WC00005,0.05
1121004253,WC00005,0.05
1177009766,WC00005,0.05
1178001055,WC00005,0.05
1179007891,WC00005,0.05
1254005357,WC00002,0.1
1254005359,WC00002,0.1
1254005361,WC00002,0.1
1010008069,WC00005,0.05
1010008070,WC00005,0.05
1010008071,WC00005,0.05
1010008072,WC00005,0.05
1316005149,WC00005,0.05
1188007449,WC00005,0.05
1261005636,WC00002,0.1
1261005637,WC00005,0.05
1261005643,WC00005,0.05
1262005292,WC00002,0.1
1262005293,WC00002,0.1
1262005295,WC00002,0.1
1319008101,WC00002,0.1
1319008102,WC00002,0.1
1319008104,WC00005,0.05
1319008105,WC00002,0.1
1321005222,WC00005,0.05
1321005223,WC00002,0.1
1321005224,WC00005,0.05
1272009764,WC00005,0.05
1158007367,WC00005,0.05
1330005655,WC00002,0.1
1330005656,WC00002,0.1
1330005657,WC00005,0.05
1330005658,WC00002,0.1
1099005306,WC00005,0.05
1099005458,WC00002,0.1
1330005659,WC00002,0.1
1330006037,WC00005,0.05
1330006038,WC00005,0.05
1330006039,WC00005,0.05
1330006040,WC00005,0.05
1330006041,WC00005,0.05
